Structure,Elements,HeapUsedMB,BytesPerElement
ArrayList,1000,0.003731,3.912
LinkedList,1000,0.036354,38.120
ArrayDeque,1000,0.018143,19.024
HashSet,1000,0.051712,54.224
LinkedHashSet,1000,0.059280,62.160
TreeSet,1000,0.051437,53.936
HashMap,1000,0.065002,68.160
LinkedHashMap,1000,0.072647,76.176
TreeMap,1000,0.064804,67.952
PriorityQueue,1000,0.017799,18.664
ArrayList,10000,0.204285,21.421
LinkedList,10000,0.379547,39.798
ArrayDeque,10000,0.205261,21.523
HashSet,10000,0.518387,54.357
LinkedHashSet,10000,0.594696,62.358
TreeSet,10000,0.532166,55.802
HashMap,10000,0.669006,70.150
LinkedHashMap,10000,0.745316,78.152
TreeMap,10000,0.682785,71.595
PriorityQueue,10000,0.200897,21.066
ArrayList,100000,1.935699,20.297
LinkedList,100000,3.817329,40.028
ArrayDeque,100000,1.941284,20.356
HashSet,100000,6.629005,69.510
LinkedHashSet,100000,7.419960,77.804
TreeSet,100000,5.370285,56.312
HashMap,100000,8.215805,86.149
LinkedHashMap,100000,9.051865,94.916
TreeMap,100000,6.946686,72.841
PriorityQueue,100000,2.101715,22.038
