Collection,Operation,1K,10K,100K,1K-10K_Ratio,10K-100K_Ratio,1K-10K_BigO,10K-100K_BigO
ArrayList,get,24,4,15,0.17,3.75,O(1),O(n)
ArrayList,add-at-end,41,51,30,1.24,0.59,O(1),O(1)
ArrayList,add-at-front,5725,5676,5572,0.99,0.98,O(1),O(1)
ArrayList,contains,329,3867,59082,11.75,15.28,O(n),O(n²)
LinkedList,get,247,2505,25477,10.14,10.17,O(n),O(n)
LinkedList,add-at-end,15,94,5,6.27,0.05,O(n),O(1)
LinkedList,add-at-front,16,8,125,0.50,15.63,O(1),O(n²)
LinkedList,contains,1237,11410,115970,9.22,10.16,O(n),O(n)
ArrayDeque,add-at-end,23,138,6,6.00,0.04,O(n),O(1)
ArrayDeque,add-at-front,16,6,6,0.38,1.00,O(1),O(1)
ArrayDeque,contains,323,3262,34375,10.10,10.54,O(n),O(n)
HashSet,add,181,64,45,0.35,0.70,O(1),O(1)
HashSet,contains,16,12,20,0.75,1.67,O(1),O(log n)
HashSet,remove,8,2,2,0.25,1.00,O(1),O(1)
LinkedHashSet,add,64,55,46,0.86,0.84,O(1),O(1)
LinkedHashSet,contains,19,11,20,0.58,1.82,O(1),O(log n)
LinkedHashSet,remove,8,3,2,0.38,0.67,O(1),O(1)
TreeSet,add,216,180,177,0.83,0.98,O(1),O(1)
TreeSet,contains,50,76,158,1.52,2.08,O(log n),O(log n)
TreeSet,remove,8,2,2,0.25,1.00,O(1),O(1)
HashMap,put,62,51,107,0.82,2.10,O(1),O(log n)
HashMap,get,17,12,43,0.71,3.58,O(1),O(n)
HashMap,containsKey,15,11,28,0.73,2.55,O(1),O(log n)
LinkedHashMap,put,67,51,48,0.76,0.94,O(1),O(1)
LinkedHashMap,get,20,12,27,0.60,2.25,O(1),O(log n)
LinkedHashMap,containsKey,17,12,19,0.71,1.58,O(1),O(log n)
TreeMap,put,205,195,211,0.95,1.08,O(1),O(1)
TreeMap,get,53,75,156,1.42,2.08,O(1),O(log n)
TreeMap,containsKey,51,77,158,1.51,2.05,O(log n),O(log n)
PriorityQueue,offer,26,17,17,0.65,1.00,O(1),O(1)
PriorityQueue,poll,7,2,2,0.29,1.00,O(1),O(1)
PriorityQueue,peek,6,2,2,0.33,1.00,O(1),O(1)
